Actual_Price,Linear Regression_Predicted,Random Forest_Predicted,XGBoost_Predicted
9770,9319.5,8544.55,8936.411
17770,19993.625,16507.0,17007.33
7590,4934.75,7794.0,7165.567
12080,12084.0,11329.2,11913.995
25230,25228.625,21882.35,24281.33
7590,6340.75,7398.8,7104.5747
8350,5497.75,7502.2,7469.812
10230,7604.0,9436.65,10303.826
6980,6978.0,6626.35,6852.2744
6560,4407.4375,5939.65,5007.1562
20120,20121.25,17040.35,19070.768
13710,11448.75,12958.0,12348.876
3170,2524.75,2952.05,2767.0366
11070,10403.5,9457.7,9536.913
2430,2423.75,2291.6,2115.411
4460,4470.4375,4021.6,3444.1519
2910,2066.0,2836.45,2267.7622
2170,2120.25,1960.15,1993.5206
4720,5026.1875,4511.15,4464.372
2550,2623.5625,2526.75,2407.632
1520,854.75,1507.6,1599.4618
9350,9347.5,8369.15,8794.571
3330,3797.3125,3127.9,2818.338
7030,5430.0,7373.6,7333.4
6180,6773.75,5985.8,5206.87
2500,2508.75,2318.0,2090.9155
8420,8726.75,7928.3,8336.808
6550,6551.25,5655.9,5745.728
9120,4401.75,8426.45,7000.9253
2180,2182.25,2032.45,2091.3298
8260,8262.75,6148.35,7192.02
3170,2661.25,3017.4,2945.173
1820,3164.125,1814.05,2140.399
2460,2271.5,2367.05,2072.8826
21340,21342.0,19540.75,20323.258
13980,13917.0,12682.45,12810.063
4050,3666.25,3665.7,3550.18
10160,9614.75,9818.7,9358.773
1910,1609.5,1775.3,1745.0798
2630,2291.1875,2597.0,2266.3862
4880,4441.6875,4676.1,4229.0005
1550,610.25,1496.35,1417.1385
5100,4514.75,4696.6,3731.2544
13840,16627.9375,14155.95,14209.249
3140,3525.875,2974.7,2711.3296
16140,10951.75,15042.3,15004.634
9880,8530.25,9460.5,8894.899
2150,1367.25,2023.95,2025.7769
1920,2225.0,1823.4,2171.778
8140,7529.5,7454.15,7259.851
2530,2319.25,2608.4,2501.8547
7590,7002.0,6966.95,7311.2407
3900,3497.875,3780.5,3675.9211
5160,3316.25,4571.3,3887.9854
5930,5929.75,5798.7,5036.6123
8290,8289.1875,8340.4,7516.6353
11280,10832.75,10597.8,10915.307
16690,10907.4375,15674.25,16496.836
1860,1641.0,1854.7,1855.6808
1850,3337.125,1810.6,1641.8392
14330,16147.375,14124.4,14099.16
2630,2291.1875,2597.0,2266.3862
2520,2517.25,2405.1,2289.6877
3490,3820.25,3337.35,3435.293
2770,1577.0,3209.7,3065.291
2360,2762.75,2156.8,2268.7297
2100,2099.25,2007.55,2276.3674
2520,2521.5,2404.8,1774.7686
4650,4670.125,4749.9,4377.4346
2500,1997.3125,2442.5,1985.0083
4810,3717.5,4559.2,4233.347
2240,2350.75,2351.65,1946.3291
2010,1920.0,2021.45,1887.565
2200,2199.1875,2647.25,3278.234
3600,3600.0625,3420.75,3753.1309
3020,2284.75,3075.1,3030.9875
11280,10832.75,10597.8,10915.307
3020,2916.75,3239.05,3453.4739
1580,1287.0,1445.6,1854.8623
1920,1917.75,1981.95,2145.4778
1890,1889.75,1748.0,1989.0048
5240,5239.75,4995.8,5156.664
2120,2312.0,2294.6,1930.6848
2620,2617.75,2546.1,2395.8335
3500,3224.5625,3458.05,3326.6667
2510,2259.6875,2470.3,2674.6985
3470,3469.5,2766.4,2412.6328
3120,3002.0,2588.35,2063.4404
2710,1999.75,2569.0,2433.905
2590,2142.5,2563.95,2499.3083
2500,2497.25,2277.35,2294.7427
5140,4260.5,4714.1,4107.9893
2030,1787.5,1867.55,2180.5195
2130,1925.75,1906.2,1874.2008
4180,3210.75,3632.25,3126.2332
1520,2030.75,1485.85,1621.787
4250,4063.5,3989.95,3612.9084
4420,4249.5,4279.65,4087.367
4390,4166.5,4169.4,3583.1284
5300,5299.5,5118.05,5023.2617
3960,3960.5625,3857.35,3728.262
1890,2651.75,1785.2,1807.2352
3830,3827.25,3772.95,2822.2986
3050,3052.0,2995.3,2849.0908
3680,4068.0625,3319.35,3205.9653
3980,3432.0,3471.15,3697.018
1550,2008.25,1591.85,1416.6478
2180,2213.75,1996.1,1835.2131
1920,1579.25,1894.45,1808.4637
2150,2035.25,2063.55,2135.9937
4890,4104.0,4725.5,4056.5054
6000,5442.0,5759.8,5051.682
2960,2248.25,2724.75,2495.6453
1660,3215.0,1631.9,1807.2352
11760,10309.75,11367.4,11171.427
19890,19893.0,18706.5,19541.814
8660,6149.75,8897.95,9221.658
25020,23009.8125,24123.7,24848.879
3430,3498.75,3524.55,3359.7437
2250,2749.3125,2159.05,2214.4204
4280,4279.5625,3984.45,3719.7458
3000,3000.0,2784.6,2342.495
1960,2399.0,1862.9,2255.1501
2960,2965.0,2838.6,2431.989
2080,4077.25,2019.9,2862.106
3610,4914.6875,3793.05,3762.5579
3550,3108.75,3210.7,2767.2898
4260,3826.125,4136.7,4056.8413
5260,5890.25,5453.9,5051.682
2480,2392.25,2413.45,2525.445
13010,11543.625,13275.15,13303.918
2070,1498.75,2062.0,2244.2646
2510,2511.75,2488.95,2309.5637
2500,2456.75,2468.65,2390.8904
2520,2545.5,2681.75,2710.2832
2190,2130.75,2149.8,2545.6533
2470,2198.75,2419.45,2354.7356
2550,2056.75,2546.5,2525.702
3260,3418.0,3423.45,3010.7327
2270,2273.0,2285.8,2296.1523
1480,1108.5,1454.3,1716.8235
1840,1840.25,2170.5,2436.001
2520,2234.0,2449.85,2198.2236
2610,2692.75,2550.55,2738.2588
10160,10008.0,9783.6,8701.294
2710,2869.75,2803.4,2936.9382
2370,2293.75,2370.7,2223.493
3020,2776.75,2859.5,2621.0051
2640,2807.0,2566.95,2342.6562
6430,6514.4375,8390.05,6522.589
1730,1929.5,1570.0,1514.2675
2220,2221.0,2127.05,2302.031
2590,2589.5,2392.8,2208.8516
2660,2184.25,2460.4,2572.2983
4390,4182.25,3956.0,3246.2202
2920,2212.25,2497.35,2706.0444
4950,4959.8125,4782.05,4390.388
2420,1986.25,2315.25,2555.2126
4350,3026.5,4096.15,3700.6199
4210,4030.0,3934.6,3246.2202
24680,18534.4375,23958.75,24182.703
4420,4417.0,3854.35,3346.2246
6620,7613.5,5847.8,4681.2256
1730,1549.75,1779.25,1953.2732
1630,1493.0,1567.3,1579.7516
5210,5116.5,4946.9,4139.339
2090,1664.25,1991.8,2171.778
1480,1433.25,1290.25,1407.5728
2740,2737.25,2603.45,2757.5146
5780,5038.75,5079.9,4558.2715
9680,8741.125,9002.35,8477.56
1550,1650.5,1555.7,1466.867
2000,2350.75,2005.45,2144.0493
2710,2709.75,2590.8,2391.2063
2790,2787.25,2700.55,2684.515
2640,2426.25,2597.35,2763.528
9410,9655.0,9635.85,9311.557
7220,5683.0,6717.8,6301.0347
3610,3610.0625,3395.35,3793.1638
17040,11866.0,17086.0,17107.64
4520,4135.5,4227.7,3798.7844
1870,1551.75,1749.65,1918.7006
1680,1672.75,1590.4,2003.0483
9680,8663.25,9243.75,9032.77
19910,19908.25,17283.8,19390.797
2960,3753.75,3078.75,3180.721
1820,1704.25,1751.3,1944.0726
2870,2876.25,3059.15,3262.157
4550,3765.3125,4382.65,4187.9346
1870,1294.25,1637.4,1413.5125
5700,5700.25,6217.85,5954.435
2970,2967.5,2980.3,3068.9724
1660,1345.0,1529.75,1672.8552
7250,6531.0,5949.3,6708.3965
4490,4103.5625,4368.75,3944.807
1770,1955.75,1571.3,1562.7128
4770,4468.25,4483.05,3845.008
1600,1623.75,1485.45,1366.2954
17390,16001.5,16596.4,16843.848
3560,4623.25,3566.15,3551.8289
4510,4156.25,4339.4,3802.983
4080,4078.75,3586.5,3001.0906
3200,3285.25,3357.4,2968.8894
3910,3905.75,3920.3,3814.4888
5320,6294.875,5598.6,5748.3525
5390,4615.875,4919.35,4747.533
4860,4150.75,4771.1,4716.1963
2460,2814.5,2475.55,2474.0876
1920,1920.5,1777.0,1891.0132
3390,2625.75,2937.4,2756.2026
1620,1936.75,1632.4,1660.0187
2300,1823.75,2222.9,2367.7412
3530,3357.0,3176.15,2732.6157
3570,3628.0,3258.2,2994.0852
9820,9819.25,9230.65,9911.808
2090,1756.75,2097.6,1887.565
13570,13573.5,11856.6,13542.674
5100,5017.25,6443.05,6246.0083
11910,11567.25,11712.7,11940.474
6670,6576.0,7034.9,6331.6055
9960,9697.0,9692.6,9311.557
4310,4311.5,3907.5,3228.7764
20650,19122.0,18864.35,19508.154
3350,3242.75,3118.35,2626.7002
9910,6524.9375,8821.75,8753.018
16070,17970.9375,14129.9,14829.68
7240,8507.125,9483.35,6853.5435
8680,8680.625,6473.75,7640.2817
7670,7439.875,7899.55,7423.328
7590,6799.0,6848.35,7345.8267
5740,5203.125,4861.95,5119.763
2360,3053.5625,2276.25,2071.5022
5230,5101.8125,5021.3,4995.015
9690,10049.0,9453.0,8701.294
6100,4592.0,5913.35,5999.105
9050,7876.875,7853.35,7842.361
7140,7143.375,6704.3,6098.972
1530,1877.75,1581.25,1754.2566
1660,821.25,1565.1,1417.1385
4860,3509.5,4632.65,4517.087
5570,5570.875,4211.9,5418.488
2980,3304.25,2950.8,2919.9326
10640,9727.75,9796.55,9399.893
6680,7598.375,6137.35,5948.806
12460,10853.75,11733.4,11866.739
6280,5465.0,5658.0,5051.738
4440,3918.375,4218.4,4056.8413
3130,3129.0,2900.85,2529.7944
23770,18566.8125,23834.0,24137.203
10160,10156.4375,10078.75,9776.202
5680,5676.25,6566.55,5805.0303
7100,6520.5,6861.55,6396.3613
24400,18594.1875,24152.05,24102.766
10580,10534.25,10712.3,10950.061
11550,11551.25,10352.7,10480.247
1520,1508.75,1445.6,1643.8395
4250,4247.75,4688.3,4893.4863
14260,14260.25,13790.65,14385.405
12470,12469.75,11056.3,11426.259
6200,5881.625,5858.5,5199.357
